Nº MPAL;ÁREA DE GOBIERNO;DIRECCIÓN GENERAL O SERVICIO DE ADSCRIPCIÓN;TIPO DE USO;TIPO VEHICULO;RELACIÓN CONTRACTUAL;ENERGÍA/COMBUSTIBLE;ETIQUETA MEDIOAMBIENTAL
1222;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL ;C
8881;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;VEHÍCULO EMERGENCIAS;RENTING;DIESEL;C
8874;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;VEHÍCULO EMERGENCIAS;RENTING;DIESEL;C
1634;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL ;C
1727;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL ;C
8538;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;AMBULANCIA;RENTING;DIESEL ;C
8878;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;VEHÍCULO EMERGENCIAS;RENTING;DIESEL;C
1630;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL ;C
1226;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;CAMIÓN;RENTING;DIESEL ;C
8883;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;VEHÍCULO EMERGENCIAS;RENTING;DIESEL;C
8872;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;VEHÍCULO EMERGENCIAS;RENTING;DIESEL;C
8868;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;VEHÍCULO EMERGENCIAS;RENTING;DIESEL;C
8871;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;VEHÍCULO EMERGENCIAS;RENTING;DIESEL;C
8869;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;VEHÍCULO EMERGENCIAS;RENTING;DIESEL;C
8870;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;D.G. EMERGENCIAS Y PROTECCIÓN CIVIL;OPERATIVO;VEHÍCULO EMERGENCIAS;RENTING;DIESEL;C
