Nº MPAL;ÁREA DE GOBIERNO;DIRECCIÓN GENERAL O SERVICIO DE ADSCRIPCIÓN;TIPO DE USO;TIPO VEHICULO;RELACIÓN CONTRACTUAL;ENERGÍA/COMBUSTIBLE;CLASIFICACIÓN IDAE
1;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;COORDINADOR DEL DISTRITO;ADMINISTRATIVO;TURISMO;PROPIEDAD;GASOLINA / GLP;ECO
2;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;COORDINACION GENERAL DE LA ALCALDIA;REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO / HÍBRIDO;0 EMISIONES
3;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;OFICINA DE LA PRESIDENCIA DEL PLENO;REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO / HÍBRIDO;0 EMISIONES
4;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;OFICINA DE LA PRESIDENCIA DEL PLENO;REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO / HÍBRIDO;0 EMISIONES
5;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;OFICINA DE LA PRESIDENCIA DEL PLENO;REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO / HÍBRIDO;0 EMISIONES
6;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE VICEALCALDIA;REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO / HÍBRIDO;0 EMISIONES
9;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;D.G. ATENCION PRIMARIA, INTERVENCION COMUNITARIA Y EMERGENCIA SOCIAL;ADMINISTRATIVO;TURISMO;PROPIEDAD;ELÉCTRICO / HÍBRIDO;0 EMISIONES
10;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE ARGANZUELA;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
11;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE BARAJAS;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
12;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE CARABANCHEL;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
13;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE  CARABANCHEL;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
14;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE  CENTRO;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
15;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE CIUDAD LINEAL;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
16;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE CHAMBERI;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
17;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE CHAMARTIN;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
18;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE FUENCARRAL;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
19;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE HORTALEZA;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
20;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE HORTALEZA;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
21;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE LATINA;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
22;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE LATINA;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
23;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE MONCLOA;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
24;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;SGT;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
25;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE RETIRO;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
26;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE SALAMANCA;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
27;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE SAN BLAS;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
28;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE TETUAN;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
29;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE USERA;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
30;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE VICALVARO;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
31;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE VILLAVERDE;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
32;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE VILLAVERDE;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
33;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE PUENTE  VALLECAS;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
34;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE VILLA VALLECAS;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
35;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;S.G.T. AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
36;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;OFICINA DE LA PRESIDENCIA DEL PLENO;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
37;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;OFICINA DE LA PRESIDENCIA DEL PLENO;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
38;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;OFICINA DE LA PRESIDENCIA DEL PLENO;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
39;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;OFICINA DE LA PRESIDENCIA DEL PLENO;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
40;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;OFICINA DE LA PRESIDENCIA DEL PLENO;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
41;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;OFICINA DE LA PRESIDENCIA DEL PLENO;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
42;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;COORDINACION GENERAL DE LA ALCALDIA;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
43;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;GERENCIA DE LA CIUDAD;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
44;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE OBRAS Y EQUIPAMIENTOS;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
45;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;S.G.T. AREA DE GOBIERNO DE HACIENDA Y PERSONAL;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
46;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE DESARROLLO URBANO;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
47;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE DESARROLLO URBANO;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
48;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE OBRAS Y EQUIPAMIENTOS;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
49;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE DESARROLLO URBANO;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
50;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE DESARROLLO URBANO;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
51;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE DESARROLLO URBANO;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
52;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;D.G. CONTRATACIÓN Y SERVICIOS;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
53;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE DESARROLLO URBANO;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
54;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE DESARROLLO URBANO;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
55;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE USERA;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
56;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;S.G.T. MEDIO AMBIENTE Y MOVILIDAD;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
57;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE CULTURA, TURISMO Y DEPORTES;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
58;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE CULTURA, TURISMO Y DEPORTES;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
59;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE CULTURA, TURISMO Y DEPORTES;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
60;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE CULTURA, TURISMO Y DEPORTES;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
61;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE EQUIDAD, DERECHOS SOCIALES Y EMPLEO;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
62;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE ECONOMIA, INNOVACION Y EMPLEO;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
63;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE FAMILIAS, IGUALDAD Y BIENESTAR SOCIAL;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
64;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;OFICINA DE LA PRESIDENCIA DEL PLENO;AD/ REPRESENTACIÓN;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
65;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO PORTAVOZ, COORDINACION DE LA JUNTA DE GOBIERNO Y RELACIONES CON EL PLENO;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
66;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO PORTAVOZ, COORDINACION DE LA JUNTA DE GOBIERNO Y RELACIONES CON EL PLENO;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
67;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE FAMILIAS, IGUALDAD Y BIENESTAR SOCIAL;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
68;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;ORGANISMO AUTONOMO INFORMATICA AYUNTAMIENTO DE MADRID;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
69;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;ORGANISMO AUTONOMO AGENCIA TRIBUTARIA MADRID;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
70;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;OO.AA. MADRID SALUD (CENTRO DE PROTECCIÓN ANIMAL);ADMINISTRATIVO;TURISMO;PROPIEDAD;DIESEL;SIN DISTINTIVO
71;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;ORGANISMO AUTONOMO AGENCIA DE ACTIVIDADES;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
72;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;ORGANISMO AUTONOMO AGENCIA TRIBUTARIA MADRID;ADMINISTRATIVO;TURISMO;RENTING;ELÉCTRICO;0 EMISIONES
99;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;J.M.D. PUENTE DE VALLECAS;ADMINISTRATIVO;TURISMO;PROPIEDAD;DIESEL;SIN DISTINTIVO
161;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;J.M.D. VICÁLVARO;ADMINISTRATIVO;TURISMO;PROPIEDAD;DIESEL;C
201;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. GESTION DEL AGUA Y ZONAS VERDES;OPERATIVO;AUTOBUS;PROPIEDAD;DIESEL;SIN DISTINTIVO
223;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;SECRETARIA SERVICIOS COMUNES Y FONDOS EUROPEOS;INCIDENCIAS;FURGONETA;PROPIEDAD;GASOLINA;0 EMISIONES
224;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;SECRETARIA SERVICIOS COMUNES Y FONDOS EUROPEOS;INCIDENCIAS;FURGONETA;PROPIEDAD;GASOLINA;B
225;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;SECRETARIA SERVICIOS COMUNES Y FONDOS EUROPEOS;INCIDENCIAS;FURGONETA;PROPIEDAD;GASOLINA;B
226;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;SECRETARIA SERVICIOS COMUNES Y FONDOS EUROPEOS;INCIDENCIAS;FURGONETA;PROPIEDAD;GASOLINA;B
227;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;SECRETARIA SERVICIOS COMUNES Y FONDOS EUROPEOS;INCIDENCIAS;FURGONETA;PROPIEDAD;GASOLINA;B
228;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;SECRETARIA SERVICIOS COMUNES Y FONDOS EUROPEOS;INCIDENCIAS;FURGONETA;PROPIEDAD;GASOLINA;B
229;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;SECRETARIA SERVICIOS COMUNES Y FONDOS EUROPEOS;INCIDENCIAS;FURGONETA;PROPIEDAD;GASOLINA;B
230;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. GESTION DEL AGUA Y ZONAS VERDES;OPERATIVO;FURGONETA;PROPIEDAD;GASOLINA;B
231;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;COORDINACION GENERAL DE LA ALCALDIA;INCIDENCIAS;FURGONETA;PROPIEDAD;ELÉCTRICO;0 EMISIONES
299;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;S.G.T. FAMILIAS, IGUALDAD Y BIENESTAR SOCIAL;ADMINISTRATIVO;TURISMO;Renting;ELÉCTRICO;0 EMISIONES
300;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;COORDINACION GENERAL DE LA ALCALDIA;AD/ REPRESENTACIÓN;TURISMO;PROPIEDAD;ELÉCTRICO;0 EMISIONES
301;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO FUENCARRAL- EL PARDO;ADMINISTRATIVO;TURISMO;PROPIEDAD;ELÉCTRICO;0 EMISIONES
302;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;OO.AA. IAM;ADMINISTRATIVO;TURISMO;PROPIEDAD;ELÉCTRICO;0 EMISIONES
303;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;S.G.T. DESARROLLO URBANO SOSTENIBLE;ADMINISTRATIVO;TURISMO;PROPIEDAD;ELÉCTRICO;0 EMISIONES
304;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;S.G.T.;ADMINISTRATIVO;TURISMO;PROPIEDAD;ELÉCTRICO;0 EMISIONES
305;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;S.G.T.;ADMINISTRATIVO;TURISMO;PROPIEDAD;ELÉCTRICO;0 EMISIONES
306;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;AREA DE GOBIERNO DE DESARROLLO URBANO;ADMINISTRATIVO;TURISMO;PROPIEDAD;ELÉCTRICO;0 EMISIONES
307;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;S.G.T. DESARROLLO URBANO SOSTENIBLE;ADMINISTRATIVO;TURISMO;PROPIEDAD;ELÉCTRICO;0 EMISIONES
308;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;SGT;ADMINISTRATIVO;TURISMO;PROPIEDAD;ELÉCTRICO;0 EMISIONES
309;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;S.G.T. DESARROLLO URBANO SOSTENIBLE;ADMINISTRATIVO;TURISMO;PROPIEDAD;ELÉCTRICO;0 EMISIONES
310;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;SECRETARÍA GENERAL TÉCNICA DE PORTAVOZ, COORDINACIÓN DE LA JUNTA DE GOBIERNO  Y RELACIONES CON EL PLENO;ADMINISTRATIVO;TURISMO;PROPIEDAD;ELÉCTRICO;0 EMISIONES
311;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;S.G.T. DESARROLLO URBANO SOSTENIBLE;ADMINISTRATIVO;TURISMO;Renting;ELÉCTRICO;0 EMISIONES
312;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;S.G.T. MEDIO AMBIENTE Y MOVILIDAD;ADMINISTRATIVO;TURISMO;Renting;ELÉCTRICO;0 EMISIONES
313;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;S.G.T. MEDIO AMBIENTE Y MOVILIDAD;ADMINISTRATIVO;TURISMO;Renting;ELÉCTRICO;0 EMISIONES
314;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;S.G.T. AREA DE GOBIERNO DE HACIENDA Y PERSONAL;ADMINISTRATIVO;TURISMO;Renting;ELÉCTRICO;0 EMISIONES
315;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;S.G.T. AREA DE GOBIERNO DE HACIENDA Y PERSONAL;ADMINISTRATIVO;TURISMO;Renting;ELÉCTRICO;0 EMISIONES
316;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;S.G.T. AREA DE GOBIERNO DE HACIENDA Y PERSONAL;ADMINISTRATIVO;TURISMO;Renting;ELÉCTRICO;0 EMISIONES
317;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE SAN BLAS-CANILLEJAS;ADMINISTRATIVO;TURISMO;Renting;ELÉCTRICO;0 EMISIONES
318;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;SECRETARÍA GENERAL TÉCNICA DE PORTAVOZ, COORDINACIÓN DE LA JUNTA DE GOBIERNO  Y RELACIONES CON EL PLENO;ADMINISTRATIVO;TURISMO;Renting;ELÉCTRICO;0 EMISIONES
319;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;PRESIDENCIA PLENO;ADMINISTRATIVO;TURISMO;Renting;ELÉCTRICO;0 EMISIONES
320;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;SECRETARIO DEL PLENO;ADMINISTRATIVO;TURISMO;Renting;ELÉCTRICO;0 EMISIONES
321;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE CIUDAD LINEAL;ADMINISTRATIVO;TURISMO;Renting;ELÉCTRICO;0 EMISIONES
322;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE MONCLOA-ARAVACA;ADMINISTRATIVO;TURISMO;Renting;ELÉCTRICO;0 EMISIONES
323;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;DISTRITO DE TETUAN;ADMINISTRATIVO;TURISMO;Renting;ELÉCTRICO;0 EMISIONES
324;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;SECRETARÍA GENERAL TÉCNICA DE PORTAVOZ, COORDINACIÓN DE LA JUNTA DE GOBIERNO  Y RELACIONES CON EL PLENO;ADMINISTRATIVO;TURISMO;Renting;ELÉCTRICO;0 EMISIONES
325;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;ORGANISMO AUTONOMO AGENCIA PARA EL EMPLEO;ADMINISTRATIVO;TURISMO;Renting;ELÉCTRICO;0 EMISIONES
326;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;ORGANISMO AUTONOMO AGENCIA DE ACTIVIDADES;ADMINISTRATIVO;TURISMO;Renting;ELÉCTRICO;0 EMISIONES
327;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;ORGANISMO AUTONOMO AGENCIA DE ACTIVIDADES;ADMINISTRATIVO;TURISMO;Renting;ELÉCTRICO;0 EMISIONES
328;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;ORGANISMO AUTONOMO AGENCIA DE ACTIVIDADES;ADMINISTRATIVO;TURISMO;Renting;ELÉCTRICO;0 EMISIONES
329;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;ORGANISMO AUTONOMO AGENCIA DE ACTIVIDADES;ADMINISTRATIVO;TURISMO;Renting;ELÉCTRICO;0 EMISIONES
330;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;ORGANISMO AUTONOMO AGENCIA DE ACTIVIDADES;ADMINISTRATIVO;TURISMO;Renting;ELÉCTRICO;0 EMISIONES
331;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;OO.AA. AGENCIA TRIBUTARIA;ADMINISTRATIVO;TURISMO;Renting;ELÉCTRICO;0 EMISIONES
332;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;S.G.T. DESARROLLO URBANO SOSTENIBLE;ADMINISTRATIVO;FURGONETA;Renting;ELÉCTRICO;0 EMISIONES
333;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;ORGANISMO AUTONOMO AGENCIA PARA EL EMPLEO;ADMINISTRATIVO;FURGONETA;Renting;ELÉCTRICO;0 EMISIONES
334;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;D.G. CONTRATACIÓN Y SERVICIOS;ADMINISTRATIVO;FURGONETA;Renting;ELÉCTRICO;0 EMISIONES
335;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;D.G. CONTRATACIÓN Y SERVICIOS;ADMINISTRATIVO;FURGONETA;Renting;ELÉCTRICO;0 EMISIONES
399;AREA DE GOBIERNO DE MEDIO AMBIENTE Y MOVILIDAD;D.G. GESTIÓN DEL AGUA Y ZONAS VERDES;OPERATIVO;FURGONETA;PROPIEDAD;DIESEL;SIN DISTINTIVO
400;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;D.G. CONTRATACIÓN Y SERVICIOS;INCIDENCIAS;FURGONETA;PROPIEDAD;DIESEL;SIN DISTINTIVO
401;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;D.G. CONTRATACIÓN Y SERVICIOS;INCIDENCIAS;FURGONETA;Propiedad;GNC;ECO
402;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;ORGANISMO AUTONOMO AGENCIA PARA EL EMPLEO;INCIDENCIAS;FURGONETA;Propiedad;GNC;ECO
403;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;D.G. CONTRATACIÓN Y SERVICIOS;INCIDENCIAS;CAMIÓN;PROPIEDAD;GNC;ECO
404;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;S.G.T. COORDINACIÓN INSTITUCIONAL;OPERATIVO;FURGONETA;PROPIEDAD;GNC;ECO
413;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;SECRETARIA SERVICIOS COMUNES Y FONDOS EUROPEOS;INCIDENCIAS;CAMIÓN;PROPIEDAD;DIESEL;B
500;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;D.G. CONTRATACIÓN Y SERVICIOS;INCIDENCIAS;CAMIÓN;PROPIEDAD;DIESEL;SIN DISTINTIVO
507;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;OO.AA. MADRID SALUD (CENTRO DE PROTECCIÓN ANIMAL);INCIDENCIAS;FURGONETA;PROPIEDAD;DIESEL;SIN DISTINTIVO
508;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;OO.AA. MADRID SALUD (CENTRO DE PROTECCIÓN ANIMAL);INCIDENCIAS;FURGONETA;PROPIEDAD;DIESEL;SIN DISTINTIVO
510;AREA DE GOBIERNO DE PORTAVOZ, SEGURIDAD Y EMERGENCIAS;OO.AA. MADRID SALUD (CENTRO DE PROTECCIÓN ANIMAL);INCIDENCIAS;FURGONETA;PROPIEDAD;DIESEL;SIN DISTINTIVO
518;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;J.M.D. PUENTE DE VALLECAS  INSTALACIÓN DEPORTIVA ALBERTO GARCÍA;INCIDENCIAS;VEHÍCULO ESPECIAL;PROPIEDAD;DIESEL;SIN DISTINTIVO
703;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;D.G. CONTRATACIÓN Y SERVICIOS;INCIDENCIAS;CAMIÓN;PROPIEDAD;DIESEL;SIN DISTINTIVO
704;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;D.G. CONTRATACIÓN Y SERVICIOS;INCIDENCIAS;CAMIÓN;PROPIEDAD;DIESEL;SIN DISTINTIVO
705;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;D.G. CONTRATACIÓN Y SERVICIOS;INCIDENCIAS;CAMIÓN;PROPIEDAD;DIESEL;SIN DISTINTIVO
707;AREA DE GOBIERNO DE HACIENDA Y PERSONAL;D.G. PROGRAMACIÓN Y ACTIVIDADES CULTURALES;MUSEO;CAMIÓN;PROPIEDAD;DIESEL;SIN DISTINTIVO
